Location	ID	n	X	Y	Zland	Depth	Fine	Mixed_Fine	Sand	Mixed_Coarse	Very_Coarse
               16449    34     2   514275.114230  4594848.063570  881.9510   12.1920  0.00000      1.00000      0.00000      0.00000      0.00000    
               16449    34     3   514275.114230  4594848.063570  881.9510   22.8600  0.00000      1.00000      0.00000      0.00000      0.00000    
               16449    34     4   514275.114230  4594848.063570  881.9510   27.4320  0.00000      1.00000      0.00000      0.00000      0.00000    
               16449    34     5   514275.114230  4594848.063570  881.9510   33.5280  0.00000      0.00000      0.00000      1.00000      0.00000    
               16449    34     6   514275.114230  4594848.063570  881.9510   40.2336  0.00000      0.00000      0.00000      1.00000      0.00000    
               16453    35     1   504589.012340  4598046.936640  911.4160    3.0480  0.00000      1.00000      0.00000      0.00000      0.00000    
               16453    35     2   504589.012340  4598046.936640  911.4160    6.0960  0.00000      0.00000      0.00000      1.00000      0.00000    
               16453    35     3   504589.012340  4598046.936640  911.4160   12.1920  0.00000      0.00000      0.00000      1.00000      0.00000    
               16453    35     4   504589.012340  4598046.936640  911.4160   13.7160  0.00000      0.00000      0.00000      1.00000      0.00000    
               16458    36     1   504585.013420  4599662.684360  935.1965    0.3048  0.00000      1.00000      0.00000      0.00000      0.00000    
               16458    36     2   504585.013420  4599662.684360  935.1965    4.5720  0.00000      1.00000      0.00000      0.00000      0.00000    
               16458    36     3   504585.013420  4599662.684360  935.1965    6.4008  0.00000      1.00000      0.00000      0.00000      0.00000    
               16458    36     4   504585.013420  4599662.684360  935.1965   10.6680  0.00000      1.00000      0.00000      0.00000      0.00000    
               16458    36     5   504585.013420  4599662.684360  935.1965   11.2776  0.00000      0.00000      0.00000      1.00000      0.00000    
               16458    36     6   504585.013420  4599662.684360  935.1965   18.2880  0.00000      1.00000      0.00000      0.00000      0.00000    
               16458    36     7   504585.013420  4599662.684360  935.1965   20.4216  0.00000      0.00000      0.00000      0.00000      1.00000    
               16458    36     8   504585.013420  4599662.684360  935.1965   24.6888  0.00000      1.00000      0.00000      0.00000      0.00000    
               16458    36     9   504585.013420  4599662.684360  935.1965   25.6032  0.00000      0.00000      0.00000      1.00000      0.00000    
               16458    36    10   504585.013420  4599662.684360  935.1965   27.4320  0.00000      0.00000      0.00000      0.00000      1.00000    
               16458    36    11   504585.013420  4599662.684360  935.1965   30.4800  0.00000      1.00000      0.00000      0.00000      0.00000    
               16463    37     1   504589.022340  4598046.946640  911.4160    9.1440  0.00000      0.00000      0.00000      0.00000      1.00000    
               16463    37     2   504589.022340  4598046.946640  911.4160   12.1920  0.00000      0.00000      0.00000      0.00000      1.00000    
               16463    37     3   504589.022340  4598046.946640  911.4160   12.4968  0.00000      0.00000      0.00000      1.00000      0.00000    
               16463    37     4   504589.022340  4598046.946640  911.4160   17.3736  0.00000      0.00000      0.00000      0.00000      1.00000    
               16463    37     5   504589.022340  4598046.946640  911.4160   17.6784  0.00000      0.00000      0.00000      1.00000      0.00000    
               16463    37     6   504589.022340  4598046.946640  911.4160   22.8600  0.00000      0.00000      0.00000      1.00000      0.00000    
               16463    37     7   504589.022340  4598046.946640  911.4160   24.3840  0.00000      0.00000      0.00000      1.00000      0.00000    
               16463    37     8   504589.022340  4598046.946640  911.4160   28.9560  0.00000      0.00000      0.00000      0.00000      1.00000    
               16463    37     9   504589.022340  4598046.946640  911.4160   30.4800  0.00000      0.00000      0.00000      1.00000      0.00000    
               16468    38     1   514275.273090  4591578.334040  856.8995   20.7264  0.00000      1.00000      0.00000      0.00000      0.00000    
               16468    38     2   514275.273090  4591578.334040  856.8995   21.3360  0.00000      0.00000      0.00000      1.00000      0.00000    
               16468    38     3   514275.273090  4591578.334040  856.8995   29.2608  0.00000      1.00000      0.00000      0.00000      0.00000    
               16468    38     4   514275.273090  4591578.334040  856.8995   30.4800  0.00000      0.00000      1.00000      0.00000      0.00000    
               16470    39     1   507780.430370  4596470.040120  860.8558    1.5240 -999.000     -999.000     -999.000     -999.000     -999.000    
               16470    39     2   507780.430370  4596470.040120  860.8558    6.0960  0.00000      0.00000      0.00000      1.00000      0.00000    
               16470    39     3   507780.430370  4596470.040120  860.8558   10.6680  0.00000      0.00000      0.00000      1.00000      0.00000    
               16470    39     4   507780.430370  4596470.040120  860.8558   12.1920  0.00000      1.00000      0.00000      0.00000      0.00000    
               16470    39     5   507780.430370  4596470.040120  860.8558   13.7160  0.00000      0.00000      0.00000      1.00000      0.00000    
               16470    39     6   507780.430370  4596470.040120  860.8558   18.2880  0.00000      0.00000      0.00000      1.00000      0.00000    
               16470    39     7   507780.430370  4596470.040120  860.8558   19.8120  0.00000      0.00000      0.00000      1.00000      0.00000    
               16470    39     8   507780.430370  4596470.040120  860.8558   25.2984  0.00000      0.00000      0.00000      1.00000      0.00000    
               16470    39     9   507780.430370  4596470.040120  860.8558   27.1272  0.00000      0.00000      0.00000      1.00000      0.00000    
               16470    39    10   507780.430370  4596470.040120  860.8558   27.4320  0.00000      0.00000      0.00000      1.00000      0.00000    
               16470    39    11   507780.430370  4596470.040120  860.8558   28.9560  0.00000      0.00000      0.00000      1.00000      0.00000    
               16470    39    12   507780.430370  4596470.040120  860.8558   30.1752  0.00000      0.00000      0.00000      1.00000      0.00000    
               16470    39    13   507780.430370  4596470.040120  860.8558   31.3944  0.00000      0.00000      1.00000      0.00000      0.00000    
               16480    40     1   511038.608370  4583420.267360  878.6165   10.9728  0.00000      0.00000      0.00000      1.00000      0.00000    
               16480    40     2   511038.608370  4583420.267360  878.6165   13.7160  0.00000      0.00000      0.00000      1.00000      0.00000    
